PlayerKey,GameID,PlayKey,RosterPosition,PlayerDay,PlayerGame,StadiumType,FieldType,Temperature,Weather,PlayType,PlayerGamePlay,Position,PositionGroup
26624,26624-1,26624-1-1,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,1,QB,QB
26624,26624-1,26624-1-2,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,2,QB,QB
26624,26624-1,26624-1-3,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,3,QB,QB
26624,26624-1,26624-1-4,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,4,QB,QB
26624,26624-1,26624-1-5,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,5,QB,QB
26624,26624-1,26624-1-6,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,6,QB,QB
26624,26624-1,26624-1-7,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,7,QB,QB
26624,26624-1,26624-1-8,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,8,QB,QB
26624,26624-1,26624-1-9,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,9,QB,QB
26624,26624-1,26624-1-10,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,10,QB,QB
26624,26624-1,26624-1-11,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,11,QB,QB
26624,26624-1,26624-1-12,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,12,QB,QB
26624,26624-1,26624-1-13,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,13,QB,QB
26624,26624-1,26624-1-14,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,14,QB,QB
26624,26624-1,26624-1-15,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,15,QB,QB
26624,26624-1,26624-1-16,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,16,QB,QB
26624,26624-1,26624-1-17,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,17,QB,QB
26624,26624-1,26624-1-18,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,18,QB,QB
26624,26624-1,26624-1-19,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,19,QB,QB
26624,26624-1,26624-1-20,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,20,QB,QB
26624,26624-1,26624-1-21,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,21,QB,QB
26624,26624-1,26624-1-22,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,22,QB,QB
26624,26624-1,26624-1-23,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,23,QB,QB
26624,26624-1,26624-1-24,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,0,24,QB,QB
26624,26624-1,26624-1-25,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,25,QB,QB
26624,26624-1,26624-1-26,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,26,QB,QB
26624,26624-1,26624-1-27,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,27,QB,QB
26624,26624-1,26624-1-28,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,28,QB,QB
26624,26624-1,26624-1-29,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,29,QB,QB
26624,26624-1,26624-1-30,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,30,QB,QB
26624,26624-1,26624-1-31,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,31,QB,QB
26624,26624-1,26624-1-32,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,32,QB,QB
26624,26624-1,26624-1-33,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,33,QB,QB
26624,26624-1,26624-1-34,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,34,QB,QB
26624,26624-1,26624-1-35,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,35,QB,QB
26624,26624-1,26624-1-36,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,36,QB,QB
26624,26624-1,26624-1-37,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,37,QB,QB
26624,26624-1,26624-1-38,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,38,QB,QB
26624,26624-1,26624-1-39,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,39,QB,QB
26624,26624-1,26624-1-40,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,40,QB,QB
26624,26624-1,26624-1-41,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,41,QB,QB
26624,26624-1,26624-1-42,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,42,QB,QB
26624,26624-1,26624-1-43,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Rush,43,QB,QB
26624,26624-1,26624-1-44,Quarterback,1,1,Outdoor,Synthetic,63,Clear and warm,Pass,44,QB,QB
